artist_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,track_name,track_number,album_name,key_name,mode_name,key_mode
Ghost,2010-10-18,0.175,0.0102,7,-23.984,1,0.0394,0.954,0.876,0.0945,0.0338,67.541,4,93920,FALSE,Deus Culpa,1,Opus Eponymous,G,major,G major
Ghost,2010-10-18,0.329,0.957,2,-5.887,0,0.0808,0.0935,0.371,0.11,0.383,129.98,4,213573,FALSE,Con Clavi Con Dio,2,Opus Eponymous,D,minor,D minor
Ghost,2010-10-18,0.67,0.864,0,-5.2,0,0.0525,0.0894,2.65e-5,0.119,0.732,132.011,4,268746,FALSE,Ritual,3,Opus Eponymous,C,minor,C minor
Ghost,2010-10-18,0.507,0.921,10,-4.527,0,0.0517,0.049,2.83e-4,0.296,0.55,127.938,4,241106,FALSE,Elizabeth,4,Opus Eponymous,A#,minor,A# minor
Ghost,2010-10-18,0.57,0.908,1,-4.243,1,0.0438,0.12,2.8e-5,0.104,0.542,128.955,4,236040,FALSE,Stand By Him,5,Opus Eponymous,C#,major,C# major
Ghost,2010-10-18,0.598,0.861,2,-5.575,0,0.0462,0.207,1.8e-4,0.151,0.333,130.047,4,278106,FALSE,Satan Prayer,6,Opus Eponymous,D,minor,D minor
Ghost,2010-10-18,0.604,0.792,7,-4.962,1,0.0478,0.0357,3.52e-4,0.326,0.248,129.999,4,276626,FALSE,Death Knell,7,Opus Eponymous,G,major,G major
Ghost,2010-10-18,0.419,0.827,9,-4.902,1,0.0551,0.109,0.00808,0.396,0.263,67.573,4,233373,FALSE,Prime Mover,8,Opus Eponymous,A,major,A major
Ghost,2010-10-18,0.244,0.908,2,-5.331,0,0.0449,0.115,0.876,0.134,0.117,135.028,4,243026,FALSE,Genesis,9,Opus Eponymous,D,minor,D minor
Ghost,2013-01-01,0.432,0.643,5,-6.485,1,0.0359,2.91e-4,0.0139,0.66,0.311,128.052,3,102426,TRUE,Infestissumam,1,Infestissumam,F,major,F major
Ghost,2013-01-01,0.559,0.847,3,-5.237,0,0.0278,0.00683,0.351,0.094,0.398,128.021,4,249146,TRUE,Per Aspera Ad Inferi,2,Infestissumam,D#,minor,D# minor
Ghost,2013-01-01,0.443,0.746,10,-5.906,1,0.0302,0.0055,0.25,0.144,0.489,100.017,3,311333,TRUE,SECULAR HAZE,3,Infestissumam,A#,major,A# major
Ghost,2013-01-01,0.458,0.811,5,-5.883,1,0.0284,3.8e-5,0.0765,0.0657,0.579,132.067,4,238813,TRUE,Jigolo Har Megiddo,4,Infestissumam,F,major,F major
Ghost,2013-01-01,0.327,0.625,4,-5.956,0,0.0308,0.00559,0.0332,0.0716,0.201,156.988,4,449240,TRUE,Ghuleh / Zombie Queen,5,Infestissumam,E,minor,E minor
Ghost,2013-01-01,0.469,0.705,7,-5.134,1,0.0458,0.0304,0.0155,0.659,0.137,122.025,4,350186,TRUE,Year Zero,6,Infestissumam,G,major,G major
Ghost,2013-01-01,0.547,0.706,10,-6.13,1,0.0318,0.0269,0.00169,0.11,0.406,110.016,4,223346,TRUE,Body And Blood,7,Infestissumam,A#,major,A# major
Ghost,2013-01-01,0.501,0.79,7,-6.575,0,0.0267,0.00729,6.34e-4,0.113,0.608,144.002,4,263666,TRUE,Idolatrine,8,Infestissumam,G,minor,G minor
Ghost,2013-01-01,0.55,0.768,9,-6.071,1,0.0297,0.0582,0.0146,0.272,0.608,124.997,4,325920,TRUE,Depth Of Satan's Eyes,9,Infestissumam,A,major,A major
Ghost,2013-01-01,0.457,0.691,7,-5.884,0,0.0289,0.0288,2.56e-4,0.178,0.276,105.058,4,353320,TRUE,Monstrance Clock,10,Infestissumam,G,minor,G minor
Ghost,2015-08-21,0.439,0.882,2,-5.079,0,0.0965,0.00203,0.185,0.371,0.216,182.626,3,315363,FALSE,Spirit,1,Meliora,D,minor,D minor
Ghost,2015-08-21,0.468,0.929,2,-4.288,1,0.0576,9.2e-5,0.14,0.0784,0.417,90.001,4,242638,FALSE,From The Pinnacle To The Pit,2,Meliora,D,major,D major
Ghost,2015-08-21,0.429,0.8,7,-5.607,0,0.033,0.00305,1.3e-5,0.179,0.269,179.788,4,362098,FALSE,Cirice,3,Meliora,G,minor,G minor
Ghost,2015-08-21,0.564,0.203,10,-20.375,1,0.0528,0.937,0.685,0.0769,0.321,105.781,4,56299,FALSE,Spöksonat,4,Meliora,A#,major,A# major
Ghost,2015-08-21,0.499,0.734,7,-5.415,1,0.0287,0.00242,0.00586,0.0892,0.237,100.003,4,253178,FALSE,He Is,5,Meliora,G,major,G major
Ghost,2015-08-21,0.507,0.952,0,-4.85,1,0.0526,5.39e-4,0.851,0.3,0.318,160.004,4,247377,FALSE,Mummy Dust,6,Meliora,C,major,C major
Ghost,2015-08-21,0.518,0.841,7,-4.647,1,0.0339,7.34e-4,0.00546,0.0784,0.536,94.987,4,324364,FALSE,Majesty,7,Meliora,G,major,G major
Ghost,2015-08-21,0.17,0.374,0,-5.871,0,0.0424,1.89e-4,0.883,0.343,0.345,154.952,3,66369,FALSE,Devil Church,8,Meliora,C,minor,C minor
Ghost,2015-08-21,0.567,0.859,7,-5.455,1,0.0375,4.74e-4,0.0731,0.139,0.342,121.989,4,290945,FALSE,Absolution,9,Meliora,G,major,G major
Ghost,2015-08-21,0.536,0.595,4,-6.917,0,0.0422,0.091,0.00856,0.0848,0.215,109.941,4,337517,FALSE,Deus In Absentia,10,Meliora,E,minor,E minor
Ghost,2018-06-01,0.195,0.0394,9,-14.886,1,0.0375,0.0676,0.77,0.388,0.0376,90.702,3,81160,FALSE,Ashes,1,Prequelle,A,major,A major
Ghost,2018-06-01,0.522,0.944,2,-5.731,0,0.0936,6.11e-6,0.482,0.135,0.236,124.029,4,261573,FALSE,Rats,2,Prequelle,D,minor,D minor
Ghost,2018-06-01,0.355,0.822,9,-6.254,1,0.0512,5.19e-4,0.0719,0.258,0.23,183.894,4,269706,FALSE,Faith,3,Prequelle,A,major,A major
Ghost,2018-06-01,0.41,0.818,8,-7.418,1,0.0547,0.00129,0.00569,0.0792,0.222,178.362,4,245160,FALSE,See The Light,4,Prequelle,G#,major,G# major
Ghost,2018-06-01,0.43,0.858,5,-6.73,1,0.0468,1.97e-5,0.777,0.093,0.144,147.981,4,317800,FALSE,Miasma,5,Prequelle,F,major,F major
Ghost,2018-06-01,0.619,0.696,7,-6.269,0,0.0315,1.89e-5,0.00555,0.38,0.727,125.986,4,219720,FALSE,Dance Macabre,6,Prequelle,G,minor,G minor
Ghost,2018-06-01,0.392,0.597,10,-7.363,1,0.0308,0.00768,1.57e-4,0.0587,0.175,155.974,4,339240,FALSE,Pro Memoria,7,Prequelle,A#,major,A# major
Ghost,2018-06-01,0.553,0.826,0,-5.819,0,0.0344,4.38e-4,0.00344,0.0823,0.468,119.984,4,210320,FALSE,Witch Image,8,Prequelle,C,minor,C minor
Ghost,2018-06-01,0.198,0.304,5,-9.99,0,0.0378,0.343,0.844,0.347,0.0388,81.043,3,355880,FALSE,Helvetesfönster,9,Prequelle,F,minor,F minor
Ghost,2018-06-01,0.443,0.612,1,-7.321,1,0.0275,0.0188,1e-6,0.103,0.204,155.961,4,207120,FALSE,Life Eternal,10,Prequelle,C#,major,C# major
Ghost,2022-03-11,0.307,0.473,4,-9.505,1,0.0316,5.24e-4,0.961,0.201,0.203,74.842,4,100408,FALSE,Imperium,1,IMPERA,E,major,E major
Ghost,2022-03-11,0.327,0.96,9,-3.818,1,0.0864,5.23e-4,1.07e-4,0.229,0.402,186.026,4,302031,FALSE,Kaisarion,2,IMPERA,A,major,A major
Ghost,2022-03-11,0.577,0.871,5,-5.008,0,0.0326,1.94e-4,0.00167,0.0642,0.825,128.071,4,196947,FALSE,Spillways,3,IMPERA,F,minor,F minor
Ghost,2022-03-11,0.57,0.867,5,-4.813,1,0.0309,6.96e-4,0.00212,0.105,0.441,88.053,4,284275,FALSE,Call Me Little Sunshine,4,IMPERA,F,major,F major
Ghost,2022-03-11,0.615,0.93,5,-4.463,0,0.0339,4.71e-4,0.00275,0.0778,0.678,128.958,3,196099,FALSE,Hunter’s Moon,5,IMPERA,F,minor,F minor
Ghost,2022-03-11,0.528,0.915,2,-5.29,0,0.0451,1.21e-4,0.00251,0.09,0.303,117.976,4,348336,FALSE,Watcher In The Sky,6,IMPERA,D,minor,D minor
Ghost,2022-03-11,0.174,0.0557,9,-22.701,1,0.0344,0.987,0.96,0.0958,0.0367,68.051,3,82939,FALSE,Dominion,7,IMPERA,A,major,A major
Ghost,2022-03-11,0.618,0.925,2,-5.339,1,0.0936,0.00208,0.0185,0.0655,0.496,92.996,4,226330,TRUE,Twenties,8,IMPERA,D,major,D major
Ghost,2022-03-11,0.542,0.727,10,-5.767,1,0.0283,0.00661,1.86e-4,0.173,0.223,122.007,4,298565,FALSE,Darkness At The Heart Of My Love,9,IMPERA,A#,major,A# major
Ghost,2022-03-11,0.586,0.885,0,-4.253,0,0.0304,4.85e-4,5.81e-6,0.267,0.786,120.005,4,316042,FALSE,Griftwood,10,IMPERA,C,minor,C minor
Ghost,2022-03-11,0.252,0.054,2,-14.16,1,0.0481,0.793,0.0856,0.184,0.0382,87.104,3,31264,FALSE,Bite Of Passage,11,IMPERA,D,major,D major
Ghost,2022-03-11,0.205,0.869,2,-3.742,0,0.0383,0.00606,3.97e-5,0.318,0.286,169.985,4,402721,FALSE,Respite On The Spitalfields,12,IMPERA,D,minor,D minor
